year,no,prob,ans,rem
729,1,『続日本紀』天平元年8月の条に「又在近江国（    ）者入官寺之例」とあるが、これは崇福寺のことと考えられている,紫郷山寺（しがさんじ）,
729,2,臣下出身の光明子の立后を正当化するため、仁徳天皇の皇后・（    ）が前例として持ち出された,磐之媛命（いわのひめのみこと）,
730,1,天平2年、改新の詔で示された（    ）の制度が停止される,防人,
731,1,731年、（    ）が太政官の正官として成立する,参議,
731,2,藤原四子のうち、京家の藤原麻呂だけは（    ）を母親としている,五百重娘（いおえのいらつめ）,他は蘇我娼子（しょうし、まさこ）を母親とする
736,1,（    ）は臣籍降下して橘諸兄と名乗った,葛城王（かずらきおう）,
738,1,（    ）は皇太子の有力候補であったが、母の出自から阿倍内親王（後の孝謙天皇）の立太子が優先された,安積（あさか）親王,
738,2,藤原不比等邸跡に建てられた隅院（すみのいん）は現在（    ）と呼ばれている,海龍王寺,
738,3,中臣宮処東人（なかとみのみやこのあずまびと）は囲碁の対局中に（    ）に斬殺された,大伴子虫,
740,1,願文にある天平12年の日付から、光明皇后が書写させた一切経は『（    ）』といわれる,五月一日経,
741,1,『続日本紀』において恭仁京の正式名称は（    ）である,大養徳恭仁大宮（やまとのくにのおおみや）,738年に大倭国が大養徳国に改字されたが747年に戻された
742,1,藤原広嗣の乱の影響で、（    ）は天平14年1月に廃止され、行政機能が筑前国司に移された,大宰府,天平17年6月に再設置された
743,1,紫香楽宮遷都の負担を鑑みて（    ）の調・庸が改められ、畿内基準に低減された,甲賀郡,
744,1,光明皇后による『楽毅論』の臨書には「天平十六年十月三日」の年紀と「（    ）」の署名がある,藤三女,
748,1,748年に元正上皇が（    ）に火葬された,佐保山陵,2年後に奈保山陵に改装された
749,1,天平勝宝元年、聖武天皇は盧舎那仏の前で北面して自ら（    ）と称した,三宝の奴,
749,2,藤原武智麻呂の長男である（    ）は難波大臣とも呼ばれた,藤原豊成,
749,3,（    ）は元年しかない元号の中で最短のものである,天平感宝,陸奥産金により天平から改元
756,1,聖武上皇の遺詔で（    ）が立太子された,道祖王（ふなどおう）,
757,1,孝謙天皇の皇嗣として藤原永手らが（    ）を推挙した,塩焼王,臣籍降下して氷上塩焼と名乗った
757,2,小野東人の謀反の計画を（    ）が藤原仲麻呂に密告した,上道斐太都（かみつみちのひたつ）,
758,1,孝謙天皇が譲位して、（    ）が即位し、淳仁天皇となる,大炊王,
758,2,淳仁天皇の即位の日に母・（    ）は正三位を授与された,当麻山背（たいまのやましろ）,大夫人（だいぶにん、おおみおや）の尊号も贈られた
758,3,藤原仲麻呂は太政官を（    ）と唐風に改めた,乾政官,
758,4,藤原仲麻呂は左大臣を大傅に、右大臣を（    ）に改めた,大保,
758,5,天平宝字2年の藤原仲麻呂による官職の唐風改称の際の太政官の会議において、（    ）は議政官で唯一不参加であったとみられる,藤原永手,北家出身、参議・房前の次男
759,1,淳仁天皇の父・舎人親王は天平宝字3年に（    ）と追尊された,崇道尽敬皇帝,
760,1,『藤氏家伝』の上巻は藤原不比等が、下巻は（    ）が編纂した,延慶,
760,2,日本で初めて発行された金銭・（    ）の銭銘は吉備真備によるとされる,開基勝宝,
762,1,多賀城碑は（    ）によって設置された,藤原朝獦（朝猟、朝狩）,南家出身、大師・仲麻呂の四男
763,1,天平宝字7年、（    ）は少僧都を解任されて代わりに道鏡が任じられた,慈訓,道鏡が失脚した神護景雲4（770）年には復帰
764,1,天平宝字8年、恵美押勝は自身を（    ）に任じ、軍事力の掌握を企図した,都督四畿内三関近江丹波播磨等国兵事使,
764,2,恵美押勝を斬殺した功績により、（    ）は十六階昇進して従五位下に叙爵した,石村石楯（いわれのいわたて）,後に坂上（さかのうえ）忌寸姓が賜与される
766,1,道鏡の法王就任の同日に（    ）が左大臣に昇進している,藤原永手,
768,1,吉備真備から築城事業を受け継ぎ、佐伯今毛人（さえきのいまえみし）が768年に筑前の（    ）を完成させた,怡土城（いとじょう、いとのき）,
769,1,称徳天皇を呪詛したとして、不破内親王は身分を廃され、（    ）に改名させられた上で平城京から追放された,厨真人厨女（くりやのまひとくりやめ）,
769,2,神護景雲3年、大宰府の（    ）が道鏡即位の宇佐八幡の信託を報じた,習宜阿曾麻呂（すげのあそまろ）,
769,3,宇佐八幡宮神託事件の直後に離宮・（    ）が建てられ、翌年の称徳天皇の行幸時に西京（にしのきょう）とされた,由義宮（ゆげのみや、ゆげぐう）,
772,1,（    ）の境内には道鏡塚という円墳があり、下野市指定史跡に指定されている,龍興寺（りゅうこうじ）,
772,2,藤原浜成は、現存最古の歌論書『（    ）』を表した,歌経標式,京家出身、参議・麻呂の嫡男
773,1,光仁天皇の皇后・井上内親王（いのえないしんのう）は宝亀3（772）年に光仁天皇を呪詛したとして廃皇后になり、翌年光仁天皇の姉・（    ）を呪詛・殺害したとして庶人に落とされた,難波内親王,井上内親王の子・他戸親王も同様で2人も宝亀6年同日に幽閉先で死去した
774,1,宝亀5年、上総介として現地に赴任した藤原黒麻呂は、現地を開墾して荘園・（    ）を成立させた,藻原荘（もばらのしょう）,南家出身、参議・巨勢麻呂の次男。現在の千葉県茂原市の起源とされる
776,1,秋篠寺は光仁天皇の勅願により、776年に法相宗の僧・（    ）が創建したとも伝わる,善珠,
778,1,宝亀9年、淳仁天皇の墓が山陵、その母の墓が（    ）と改称された,御墓,
780,1,（    ）の造城中に伊治公呰麻呂の乱が起こった,覚鱉城（かくべつじょう）,
780,2,伊治公呰麻呂が紀広純らを殺害した宝亀の乱が起こった当時、天皇は（    ）であった,光仁天皇,
781,1,光仁天皇が譲位したとき、右大臣は（    ）であった,大中臣清麻呂（おおなかとみのきよまろ）,
782,1,三方王と妻の（    ）は桓武天皇を呪詛したとして日向国に流罪となった,弓削女王（ゆげじょおう、ゆげのおおきみ）,
782,2,天応2（782）年6月、（    ）が左大臣を罷免された,藤原魚名,北家出身、参議・房前の五男。以後、冬嗣の就任まで左大臣が43年間空位となる
783,1,藤原乙牟漏の立后時、右大臣は（    ）であった,藤原田麻呂,式家出身、参議・宇合の五男
784,1,延暦3年11月の長岡京遷都時、右大臣は（    ）であった,藤原是公（これきみ）,南家出身、武部卿・乙麻呂の長男
785,1,藤原種継暗殺事件に関する早良親王の関与について『続日本紀』から削除された部分が『（    ）』に残っている,日本紀略,
793,1,遷都に向けた調査のため、793年に大納言・藤原小黒麻呂が山城国葛野郡（    ）村に派遣された,宇太（うた）,北家出身、鳥養の次男
794,1,延暦13年8月に藤原継縄らは『続日本紀』の一部を撰進したが、このときの右大臣は（    ）であった,藤原継縄,南家出身、右大臣・豊成の次男
797,1,延暦16年に橘入居（たちばなのいりい）らが編纂した『（    ）』が施行された,刪定令格（さんていりょうかく）,橘入居は奈良麻呂の子
800,1,延暦19年、早良親王は崇道天皇と追称されるが、このとき同時に（    ）も追尊された,井上内親王,
801,1,延暦20年に、現在の多度大社で成立した『（    ）』は奈良時代後期の神仏習合の状況を伝える史料である,多度神宮寺伽藍縁起並資財帳,
805,1,藤原緒嗣らによる徳政相論があった当時の右大臣は（    ）である,神王（みわおう）,このとき藤原緒嗣と菅野真道はともに参議であった
806,1,平城天皇即位の同年に、（    ）は右大臣に就任した,藤原内麻呂,北家出身、大納言・真楯の三男
806,2,延暦・大同年間に和気清麻呂の長子・（    ）によって弘文院が設置された,和気広世,
807,1,（    ）により『古語拾遺』が編纂された,斎部広成（いんべのひろなり）,
807,2,大同2年、参議が廃止され、（    ）が置かれる,観察使,弘仁元（810）年に復活した
807,3,大同2年、（    ）が伊予親王に謀反を勧めていることが発覚し、後に流罪となった,藤原宗成,北家出身、三起の長男
807,4,謀反の嫌疑で藤原吉子・伊予親王母子は（    ）に幽閉された,川原寺,吉子は南家出身、父は右大臣・是公
809,1,平城天皇が譲位し、神野（賀美能）親王が即位して（    ）が立太子した,高岳親王（たかおかしんのう）,
809,2,嵯峨天皇の諱にふれるため、伊予国神野郡を（    ）郡と改めた,新居,
810,1,藤原薬子は中納言・（    ）の妻であった,藤原縄主（ふじわらのただぬし）,式家出身、参議・藤原蔵下麻呂の長男
810,2,平城太上天皇の変が起こった当時、右大臣は（    ）であった,藤原内麻呂,北家出身、大納言・藤原真楯
810,3,嵯峨天皇は、平城太上天皇の変において上皇の東向を阻止するため大納言・（    ）を派遣した,坂上田村麻呂,
812,1,『風信帖』は『風信帖』（1通目）、『忽披帖』（2通目）、『（    ）』（3通目）の3通からなる,忽恵帖（こつけいじょう）,
813,1,現存唯一の最澄自筆の作品は、冒頭に「（    ）」（4字）の句があることから『久隔帖』と呼ばれる,久隔清音,
813,2,弘仁4年、（    ）が父・藤原内麻呂の追善供養のために興福寺南円堂が建立された,藤原冬嗣,
814,1,『新撰姓氏録』では古代氏族がその出自により、皇別・神別・（    ）に分けられている,諸蕃,
815,1,弘仁6年、橘嘉智子の立后時、右大臣は（    ）であった,藤原園人,北家出身、参議・藤原楓麻呂の長男
818,1,弘仁9年に宮中の諸門の名称が唐風に改められ、例えば佐伯門は（    ）門と改称された,藻壁門,さへき→さうえきと転訛が加わった
823,1,嵯峨天皇の書としては延暦寺蔵の国宝『（    ）』がある,光定戒牒（こうじょうかいちょう）,
824,1,天長元年、（    ）が初代天台座主となる,義真,修禅大師
825,1,天長2年、桓武皇子の（    ）の子・高棟王が平姓を賜って臣籍降下した,葛原（かずらわら）親王,
827,1,勅撰三集のすべてについて編纂に従事した唯一の文人は（    ）である,菅原清公,
828,1,空海は（    ）から左京九条の邸宅を譲り受け、私立学校・綜芸種智院を設置した,藤原三守（ふじわらのただもり、みもり）,承和12（845）年には売却された
831,1,淳和天皇の勅により滋野貞主は、日本最古の類書『（    ）』を編纂した,秘府略,
833,1,天長10年、武蔵国の多摩郡と入間郡の境に布施屋・（    ）が設けられた,悲田処,
834,1,平安宮大内裏にある豊楽院の北側には（    ）という空閑地が広がっていた,宴の松原,
835,1,承和2年、承和昌宝が鋳造・発行された当時、右大臣は（    ）であった,清原夏野,
835,2,承和2年、大宰府に赴任中の小野岑守は行旅の病人を救護するための施設として（    ）を建設した,続命院（ぞくみょういん）,
838,1,承和5年の最後の遣唐大使は（    ）であった,藤原常嗣,北家出身、中納言・藤原葛野麻呂の七男
842,1,承和の変が起きた時、右大臣は（    ）であった,源常（みなもとのときわ）,嵯峨源氏
842,2,承和の変により、（    ）は大納言を解任され、京外に追放された,藤原愛発,北家出身、右大臣・藤原内麻呂の七男または八男
847,1,847年、橘嘉智子と弟の（    ）によって右京二条西大宮大路に学館院が創建された,橘氏公,
848,1,承和14年、藤原良房が右大臣になるが、前任者は（    ）であった,橘氏公,
848,2,仁明天皇は菊の花を愛したことから、菊の花のような少しくすんだ透明感のある黄色を（    ）という,承和色（そがいろ、じょうわいろ）,
848,3,豊後国大分郡寒川で発見された白亀の献上を大瑞として承和から（    ）に改元された,嘉祥（かしょう、かじょう）,
850,1,850年、（    ）に太政大臣が追贈された,藤原冬嗣,
850,2,藤原順子は、夫・仁明天皇崩御後に移り住んだ邸宅にちなんで（    ）と称されていた,五条后（ごじょうのきさき）,
854,1,円仁が第3世天台座主となった当時、天皇は（    ）であった,文徳天皇,
857,1,斉衡4年、藤原良房の太政大臣への昇進に伴い、（    ）は左大臣に就任した,源信,
859,1,石清水八幡宮の創建時、右大臣は（    ）であった,藤原良相,北家出身、左大臣・藤原冬嗣の五男
863,1,貞観5年の神泉苑での御霊会では、（    ）と総称される早良親王ら六柱が祀られた,六所御霊,
866,1,『日本三代実録』によると貞観8年、（    ）は伴善男・中庸（なかつね）父子が応天門放火の犯人であると密告した,大宅鷹取,
869,1,『続日本後紀』は最終的には藤原良房と（    ）のみが編纂者として残り、貞観11年に完成した,春澄善縄（はるすみのよしただ）,
871,1,貞観式が施行された当時、右大臣は（    ）であった,藤原氏宗（うじむね）,北家出身、中納言・藤原葛野麻呂の子
874,1,『世要動静経』や『金匱新注』などを著したとされる9世紀の著名な陰陽博士は（    ）である,滋岳川人（しげおかのかわひと）,
875,1,貞観17年、冷然院の最初の火災が起こった当時、右大臣は（    ）であった,藤原基経,
877,1,（    ）は小野山荘に藤原冬嗣らを招き、日本初の尚歯会を開催した,南淵年名,
878,1,出羽国の夷俘が秋田城を襲撃した元慶の乱が起こった当時、天皇は（    ）であった,陽成天皇,
879,1,京家最後の公卿・（    ）の提唱により、元慶官田が設置された,藤原冬緒,
881,1,高岳親王は平城太上天皇の変に伴う政変で廃太子となり、出家して真如と名乗っていたが、元慶5年に在唐の留学生・（    ）らによって羅越国（現・シンガポール付近）で薨去したと伝えられた,中瓘（ちゅうかん）,
883,1,陽成天皇の乳母・紀全子の子である（    ）は元慶7年に殿上で格殺された,源益（みなもとのまさる、すすむ）,
884,1,恒貞親王は承和の変での廃太子の後に出家して（    ）と称し、元慶8年には陽成天皇の後継として推挙されるも即位の要請を断っている,恒寂（ごうじゃく）,大覚寺の開山
884,2,陽成天皇の後継を決める評議において、藤原基経に同調した（    ）が剣に手をかけて恫喝したことで異論が押さえ込まれた,藤原諸葛,南家出身、右大臣・三守の孫
884,3,元慶8年、（    ）親王が即位して光孝天皇となった,時康,55歳での即位
884,4,光孝天皇が即位した当時、右大臣は（    ）であった,源多（まさる）,仁明第一源氏
887,1,仁和3年、文章博士・（    ）は橘広相が起草した、宇多天皇から藤原基経への詔勅の文言を指摘して阿衡の紛議を引き起こした,藤原佐世（ふじわらのすけよ）,式家出身
887,2,阿衡の紛議が起きた時、左大臣は（    ）であった,源融,
891,1,宇多天皇の命により、寛平年間に藤原佐世によって日本最古の漢籍目録『（    ）』が編纂された,日本国見在書目録（にほんこくげんざいしょもくろく）,
892,1,僧・（    ）によって日本最古の漢和辞典『新撰字鏡』が編纂された,昌住,
894,1,寛平6年、菅原道真が遣唐大使に、（    ）が同副使に任命された,紀長谷雄（きのはせお）,
894,2,894年、菅原道真が遣唐使中止を申し出ていた当時、右大臣は（    ）であった,藤原良世（よしよ）,北家出身、冬嗣の八男
896,1,（    ）は寛平8年に左大臣に任じられるも同年に致仕したことから致仕大臣と呼ばれた,藤原良世（よしよ）,
896,2,藤原高子は東光寺座主・（    ）と密通した疑いで皇太后を廃された,善祐,
897,1,宇多天皇譲位の前月に右大臣・（    ）が薨去した,源能有（よしあり）,文徳天皇皇子
897,2,伊勢国（    ）郡が永代寄進とされ、多気・度会とあわせて神三郡と呼ばれた,飯野,
897,3,清涼殿東庭北東の（    ）が落ちる辺りを詰所にしていたことから、清涼殿警護の武者を「滝口の武者」という,御溝水（みかわみず）,
898,1,『今昔物語集』には（    ）が妻の北の方を藤原時平に奪われる話がある,藤原高国,北家出身、中納言・長良の長男
900,1,醍醐天皇の外祖父・（    ）が内大臣に任じられた,藤原高藤,
900,2,昌泰3年の内大臣任命は宝亀10年の（    ）以来である,藤原魚名,
900,3,在原行平創建の奨学院は昌泰3年に大学寮南曹として公認され、藤原氏の勧学院とあわせて「（    ）」と称された,南曹の二窓,
901,0,蔵人頭・（    ）は、菅原道真の左遷の停止を要請しようと参内した宇多上皇を内裏の門前で阻んだ,藤原菅根,南家出身
901,1,斉世親王が出家し、仁和寺に入って真寂（しんじゃく）と名乗った当時、右大臣は（    ）であった,源光,父は仁明天皇
901,2,昌泰4年、藤原時平の妹・（    ）が醍醐天皇に入内する,藤原穏子,
901,3,菅原道真の後裔である（    ）によって、昌泰の変は藤原時平の讒言によるという定説が確立された,菅原陳経（すがわらののぶつね）,
902,1,（    ）によって『天台宗延暦寺座主円珍伝』が書かれた,三善清行,
904,1,904年、宇多法皇が仁和寺に僧坊・御室を造営した当時、左大臣は（    ）であった,藤原時平,
907,1,宇多天皇の譲位後の後院である東七条宮は、邸内の池に東屋があったことから（    ）と呼ばれていた,亭子院（ていじのいん）,中宮・藤原温子の御所
911,1,延喜4年に立太子した（    ）は、延喜11年に保明と改名した,崇象（むねかた）,
913,1,延喜13年に三善清行は、擬人化された心と眼が対話する形式の戯文「（    ）」を書いた,詰眼文（きつがんぶん）,『本朝文粋』巻12に収められている
914,1,源高明は醍醐天皇と、近江更衣とも称された（    ）との間に生まれた,源周子（ちかこ、しゅうし）,
916,1,受領功過定（ずりょうこうかさだめ）において特に重要であったのは、（    ）、雑米惣返抄、勘済税帳、封租抄である,受領功過定は任期を終えた受領に対する成績審査,
922,1,三善清行の子・浄蔵は、宇多天皇の同母兄・（    ）を蘇生させて4日間生きながらえさせたといわれる,是忠親王（これただしんのう）、南院親王,
925,1,保明親王の第一王子である皇太子・（    ）が5歳の若さで夭逝する,慶頼王（よしよりおう、やすよりおう）,
930,1,延長8年、清涼殿で落雷の直撃を受け、大納言・（    ）が即死した,藤原清貫,南家出身、参議・藤原保則の四男
930,2,延長8年、清涼殿に落雷があり、右中弁兼内蔵頭の（    ）が顔面に直撃を受けて瀕死となる,平希世,
930,3,藤原師輔は（    ）と密通していたが、後に婚姻が勅許され、臣下として初めて内親王を降嫁された,勤子内親王（きんし、いそこないしんのう）,
937,1,承平7年、藤原仲平が左大臣に、（    ）が右大臣に任命される,藤原恒佐（つねすけ）,北家出身、左大臣・長世の七男
937,2,叔父である朱雀天皇に入内した煕子女王（ひろこ、きしじょおう）の母は藤原時平の娘・（    ）である,藤原仁善子（にぜこ）,父は醍醐天皇皇子の保明親王
938,1,醍醐天皇皇女・（    ）の命で源順が『和名類聚抄』を編纂した,勤子内親王（きんし、いそこないしんのう）,
941,1,藤原忠文は藤原純友の追討のため、（    ）に任じられた,征西大将軍,
946,1,天慶9年、（    ）が即位して村上天皇となり、先代に続いて藤原忠平が関白を務めた,成明親王（なりあきらしんのう）,
946,2,兄の藤原実頼は（    ）を、弟の師輔は安子（やすこ、あんし）を村上天皇の女御とした,述子（のぶこ、じゅっし）,
949,1,藤原実頼は有職故実に通じ、（    ）を創始した,小野宮流,
951,1,宮中の昭陽舎に撰和歌所（せんわかどころ）が置かれ、『後撰和歌集』の編纂にあたった清原元輔、源順、紀時文、坂上望城、（    ）の5人は「梨壺の五人」と呼ばれた,大中臣能宣（おおなかとみのよしのぶ）,
952,1,朱雀上皇は出家して（    ）に入った,仁和寺,
953,1,醍醐天皇皇子・重明親王（しげあきらしんのう）の日記『（    ）』は平安中期の朝廷の儀式や典礼に関する貴重な史料であったと推測される,吏部王記（りほうおうき、りぶおうき）,
958,1,乾元大宝の銭文は（    ）が書いたとされる,阿保懐之（あぼのかねゆき）,
960,1,960年に右大臣に任じられた（    ）は、『大鏡』の記述によるとかなりの倹約家であり、それゆえに長生きできたという,藤原顕忠（あきただ）,北家出身、時平の次男
963,1,963年、清涼殿の法華八講で、天台宗の良源らと法相宗の法蔵らの間で行われた論争を（    ）という,応和の宗論,
964,1,冷泉天皇と円融天皇の生母・藤原安子は、後に大斎院と号される（    ）を出産して間もなく産褥死した,選子内親王（のぶこ、せんしないしんのう）,
967,1,右大臣・源高明は自身の娘を当時の東宮有力候補であった（    ）の妃にした,為平親王（ためひらしんのう）,
968,1,安和元年、藤原超子は（    ）として冷泉天皇に入内し、同年12月に女御宣下を受けた,御匣殿別当（みくしげとののべっとう）,
969,1,安和の変が起こった時、右大臣は（    ）であった,藤原師尹（もろただ）,忠平の五男
970,1,安和3年、藤原伊尹（これただ、これまさ）が円融天皇の摂政となった時、左大臣は藤原在衡、右大臣は（    ）であった,藤原伊尹,
971,1,源為憲が幼学書『（    ）』を編纂する,口遊（くちずさみ、くちすさび）,
972,1,『江談抄』には藤原兼家が大納言の頃に見た雪の逢坂関の夢を（    ）が関白の予言と解釈した話がある,大江匡衡,
973,1,藤原兼家の兄弟である（    ）は、天台宗で初めて一身阿闍梨になったといわれる,尋禅,
977,1,臣籍降下していた（    ）は、源昭平（あきひら）とともに皇族に戻され、左大臣を解かれた,源兼明,
977,2,貞元2年、関白・藤原兼通による最後の除目によって、弟・兼家は右近衛大将から（    ）へ降格させられた,治部卿,
981,1,『日本紀略』によると円融天皇が四条後院に行幸したが、この四条後院は太政大臣・頼忠の（    ）である,四条坊門大宮第,
982,1,慶滋保胤は白居易の漢詩『池上篇』と（    ）の著書『池亭記』から着想を得て『池亭記』を著した,兼明親王,
984,1,永観2年、（    ）が即位して花山天皇となった,師貞親王,
984,2,永観2年に成立した『三宝絵詞』の中で源為憲は、釈迦が入滅して（    ）年経過し、像法の世も残すところあとわずかであると記している,1933,
985,1,命日が永観3年1月3日であったことから、第18世天台座主は（    ）の名で知られる,元三大師（がんざんだいし）,良源
985,2,花山天皇の代には、延喜の荘園整理令をもとにした（    ）が発布された,永観の荘園整理令,
986,1,986年に（    ）は右大臣を辞して、初めて大臣と兼官しない摂政の地位に就いた,藤原兼家,
987,1,『栄花物語』によると（    ）は源雅信に猛反対し、娘の倫子を道長に嫁がせたという,藤原穆子（あつこ、ぼくし）,
988,1,永延2年、（    ）は妻と娘・忯子を弔うために法住寺を建立した,藤原為光,
990,1,正暦元年、藤原兼家は二条第を改めて（    ）を創建した,法興寺,
991,2,正暦2年、藤原済時の娘・（    ）が居貞親王（後の三条天皇）に入内した,藤原娍子（せいし、すけこ）,
995,1,藤原道長が右大臣に任じられたとき、左大臣であった（    ）はすでに亡くなっており、太政大臣とともに空位となっていた,源重信,
